IdElement;NomElement;Superficie;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal;SuperficieKm2;PoblacioPerKm2;IdBarri;NomBarri;IdDistricte;NomDistricte
SEC_228;228;74000;50;207;95;48;198;388;649;396;122;219;2372;0,074;32054;BAR_04;La Torrassa;DIS_2;Districte II
SEC_101;101;45223;49;138;74;43;108;196;441;384;146;106;1685;0,045223;37260;BAR_01;Centre;DIS_1;Districte I
SEC_102;102;30170;31;92;56;34;102;125;293;283;194;267;1477;0,03017;48956;BAR_01;Centre;DIS_1;Districte I
SEC_103;103;24713;23;75;22;10;61;100;202;160;76;97;826;0,024713;33424;BAR_01;Centre;DIS_1;Districte I
SEC_104;104;37915;22;84;41;14;63;95;239;192;71;107;928;0,037915;24476;BAR_01;Centre;DIS_1;Districte I
SEC_105;105;26202;25;84;56;25;63;142;267;214;157;106;1139;0,026202;43470;BAR_01;Centre;DIS_1;Districte I
SEC_107;107;101732;37;117;53;39;111;185;384;276;179;197;1578;0,101732;15511;BAR_01;Centre;DIS_1;Districte I
SEC_108;108;49176;38;129;55;14;120;201;345;294;138;132;1466;0,049176;29811;BAR_01;Centre;DIS_1;Districte I
SEC_109;109;28817;17;89;34;17;80;133;237;248;144;127;1126;0,028817;39074;BAR_01;Centre;DIS_1;Districte I
SEC_106;106;34846;19;122;46;27;102;159;362;344;291;150;1622;0,034846;46548;BAR_03;Sant Josep;DIS_1;Districte I
SEC_327;327;65252;26;102;54;22;87;149;277;269;185;77;1248;0,065252;19126;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_304;304;55124;65;215;54;25;97;316;617;305;117;146;1957;0,055124;35502;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_418;418;19122;38;135;76;28;108;223;349;282;98;147;1484;0,019122;77607;BAR_08;Les Planes;DIS_4;Districte IV
SEC_511;511;21565;61;227;95;44;194;381;608;423;135;242;2410;0,021565;111755;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_110;110;23305;22;77;33;19;61;111;255;189;182;167;1116;0,023305;47887;BAR_01;Centre;DIS_1;Districte I
SEC_216;216;23245;24;121;64;34;114;195;348;222;128;153;1403;0,023245;60357;BAR_05;Collblanc;DIS_2;Districte II
SEC_111;111;67834;10;49;32;9;58;79;169;170;87;130;793;0,067834;11690;BAR_01;Centre;DIS_1;Districte I
SEC_112;112;35055;40;117;52;34;131;217;398;319;204;141;1653;0,035055;47154;BAR_01;Centre;DIS_1;Districte I
SEC_113;113;1053228;32;155;75;29;101;233;433;323;255;132;1768;1,053228;1679;BAR_01;Centre;DIS_1;Districte I
SEC_114;114;28152;26;110;41;29;96;143;349;295;177;213;1479;0,028152;52536;BAR_03;Sant Josep;DIS_1;Districte I
SEC_531;531;11541;33;81;35;20;83;192;253;192;69;80;1038;0,011541;89940;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_115;115;29630;20;103;47;24;98;160;323;246;152;123;1296;0,02963;43739;BAR_03;Sant Josep;DIS_1;Districte I
SEC_116;116;68224;28;108;50;28;115;146;318;277;191;205;1466;0,068224;21488;BAR_02;Sanfeliu;DIS_1;Districte I
SEC_213;213;11052;31;88;39;28;82;166;261;178;88;97;1058;0,011052;95729;BAR_05;Collblanc;DIS_2;Districte II
SEC_117;117;86286;48;122;73;26;124;191;404;425;254;189;1856;0,086286;21510;BAR_03;Sant Josep;DIS_1;Districte I
SEC_118;118;12126;25;120;77;26;93;182;338;288;278;156;1583;0,012126;130546;BAR_02;Sanfeliu;DIS_1;Districte I
SEC_309;309;40099;36;125;55;23;76;162;391;215;104;85;1272;0,040099;31721;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_119;119;15012;16;71;41;14;59;113;257;213;218;200;1202;0,015012;80069;BAR_03;Sant Josep;DIS_1;Districte I
SEC_120;120;34082;30;120;58;29;128;228;353;395;225;124;1690;0,034082;49586;BAR_03;Sant Josep;DIS_1;Districte I
SEC_136;136;20946;24;104;47;25;86;138;315;219;140;117;1215;0,020946;58006;BAR_03;Sant Josep;DIS_1;Districte I
SEC_121;121;17970;24;81;34;16;75;106;237;193;45;89;900;0,01797;50083;BAR_03;Sant Josep;DIS_1;Districte I
SEC_122;122;54111;27;102;37;22;62;114;246;157;59;148;974;0,054111;18000;BAR_03;Sant Josep;DIS_1;Districte I
SEC_123;123;40117;22;94;35;26;92;166;265;289;138;155;1282;0,040117;31957;BAR_01;Centre;DIS_1;Districte I
SEC_124;124;21757;20;59;43;16;42;136;190;170;90;93;859;0,021757;39482;BAR_01;Centre;DIS_1;Districte I
SEC_513;513;19209;47;170;62;28;129;244;398;271;81;166;1596;0,019209;83086;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_125;125;88759;29;117;77;28;106;176;386;314;182;154;1569;0,088759;17677;BAR_03;Sant Josep;DIS_1;Districte I
SEC_126;126;54989;15;71;33;21;81;106;238;154;124;172;1015;0,054989;18458;BAR_03;Sant Josep;DIS_1;Districte I
SEC_322;322;18248;37;121;70;29;110;198;383;213;117;123;1401;0,018248;76776;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_127;127;16677;13;53;36;15;48;99;178;188;60;69;759;0,016677;45512;BAR_03;Sant Josep;DIS_1;Districte I
SEC_128;128;25377;26;87;45;15;58;145;307;175;93;107;1058;0,025377;41691;BAR_01;Centre;DIS_1;Districte I
SEC_301;301;28327;18;101;60;29;73;171;311;254;137;255;1409;0,028327;49741;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_129;129;122644;18;84;38;24;81;125;258;204;97;164;1093;0,122644;8912;BAR_02;Sanfeliu;DIS_1;Districte I
SEC_130;130;26783;24;90;44;16;65;116;269;221;61;151;1057;0,026783;39465;BAR_01;Centre;DIS_1;Districte I
SEC_131;131;16335;28;103;47;15;69;142;302;232;208;154;1300;0,016335;79584;BAR_01;Centre;DIS_1;Districte I
SEC_308;308;64776;36;143;83;54;167;231;427;419;240;217;2017;0,064776;31138;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_132;132;305403;61;185;81;30;128;343;582;499;268;210;2387;0,305403;7816;BAR_02;Sanfeliu;DIS_1;Districte I
SEC_133;133;27229;23;70;35;13;55;120;209;174;103;94;896;0,027229;32906;BAR_01;Centre;DIS_1;Districte I
SEC_305;305;40145;30;109;65;26;132;227;373;372;199;129;1662;0,040145;41400;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_134;134;82915;34;122;59;30;106;162;331;275;125;141;1385;0,082915;16704;BAR_01;Centre;DIS_1;Districte I
SEC_135;135;34396;30;121;38;24;95;191;335;309;187;154;1484;0,034396;43145;BAR_01;Centre;DIS_1;Districte I
SEC_412;412;19168;45;110;57;29;134;220;374;293;180;234;1676;0,019168;87437;BAR_07;La Florida;DIS_4;Districte IV
SEC_137;137;23553;30;108;73;28;114;152;318;312;160;144;1439;0,023553;61096;BAR_03;Sant Josep;DIS_1;Districte I
SEC_514;514;14736;38;115;71;37;138;215;377;267;78;151;1487;0,014736;100909;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_138;138;17797;16;56;23;9;53;78;161;163;115;101;775;0,017797;43547;BAR_03;Sant Josep;DIS_1;Districte I
SEC_139;139;17943;15;51;34;15;84;108;201;187;110;91;896;0,017943;49936;BAR_03;Sant Josep;DIS_1;Districte I
SEC_411;411;21045;19;74;32;20;85;127;226;181;87;170;1021;0,021045;48515;BAR_07;La Florida;DIS_4;Districte IV
SEC_140;140;32835;25;96;40;21;85;129;250;220;87;109;1062;0,032835;32344;BAR_03;Sant Josep;DIS_1;Districte I
SEC_141;141;79244;81;305;141;45;66;126;681;216;46;25;1732;0,079244;21857;BAR_01;Centre;DIS_1;Districte I
SEC_201;201;84949;64;194;67;33;96;259;532;234;91;112;1682;0,084949;19800;BAR_05;Collblanc;DIS_2;Districte II
SEC_240;240;47718;50;166;75;32;146;330;463;344;115;163;1884;0,047718;39482;BAR_04;La Torrassa;DIS_2;Districte II
SEC_202;202;23350;56;151;66;22;162;315;504;327;118;143;1864;0,02335;79829;BAR_05;Collblanc;DIS_2;Districte II
SEC_501;501;45476;15;55;26;18;78;86;214;201;204;124;1021;0,045476;22451;BAR_09;Can Serra;DIS_5;Districte V
SEC_204;204;26995;45;140;63;24;147;250;426;297;120;163;1675;0,026995;62049;BAR_05;Collblanc;DIS_2;Districte II
SEC_205;205;18895;16;62;34;20;91;168;193;208;94;111;997;0,018895;52765;BAR_05;Collblanc;DIS_2;Districte II
SEC_207;207;48344;45;146;61;36;160;295;491;388;146;156;1924;0,048344;39798;BAR_05;Collblanc;DIS_2;Districte II
SEC_208;208;42118;25;90;41;22;121;251;326;307;209;313;1705;0,042118;40482;BAR_05;Collblanc;DIS_2;Districte II
SEC_209;209;31844;24;76;35;23;94;196;265;238;66;112;1129;0,031844;35454;BAR_05;Collblanc;DIS_2;Districte II
SEC_410;410;22974;35;129;55;27;154;204;366;334;177;268;1749;0,022974;76130;BAR_07;La Florida;DIS_4;Districte IV
SEC_210;210;33555;12;60;33;20;74;108;194;157;94;120;872;0,033555;25987;BAR_05;Collblanc;DIS_2;Districte II
SEC_211;211;14899;42;132;45;23;137;260;411;245;64;118;1477;0,014899;99134;BAR_04;La Torrassa;DIS_2;Districte II
SEC_224;224;13342;27;120;57;20;104;209;319;244;94;94;1288;0,013342;96537;BAR_05;Collblanc;DIS_2;Districte II
SEC_212;212;20822;38;129;60;23;143;264;387;254;103;120;1521;0,020822;73048;BAR_05;Collblanc;DIS_2;Districte II
SEC_214;214;35974;64;210;92;45;201;395;640;433;121;176;2377;0,035974;66075;BAR_05;Collblanc;DIS_2;Districte II
SEC_217;217;25334;48;123;44;34;119;242;394;292;124;115;1535;0,025334;60591;BAR_04;La Torrassa;DIS_2;Districte II
SEC_220;220;24464;49;156;72;35;118;320;452;342;110;141;1795;0,024464;73373;BAR_05;Collblanc;DIS_2;Districte II
SEC_533;533;30348;58;177;74;35;157;299;488;360;125;194;1967;0,030348;64815;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_221;221;28160;57;162;69;39;184;337;518;377;139;199;2081;0,02816;73899;BAR_05;Collblanc;DIS_2;Districte II
SEC_223;223;15381;29;121;56;26;101;226;342;237;87;112;1337;0,015381;86925;BAR_05;Collblanc;DIS_2;Districte II
SEC_518;518;10813;37;93;48;19;87;163;278;197;87;136;1145;0,010813;105891;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_226;226;30550;35;168;67;38;153;301;462;351;159;196;1930;0,03055;63175;BAR_05;Collblanc;DIS_2;Districte II
SEC_316;316;112544;37;137;54;29;112;274;409;427;444;169;2092;0,112544;18588;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_229;229;20316;64;187;86;28;205;321;527;362;86;113;1979;0,020316;97411;BAR_04;La Torrassa;DIS_2;Districte II
SEC_238;238;25072;28;85;41;18;79;185;269;164;69;90;1028;0,025072;41002;BAR_04;La Torrassa;DIS_2;Districte II
SEC_231;231;18899;44;141;49;20;145;218;376;255;64;106;1418;0,018899;75030;BAR_04;La Torrassa;DIS_2;Districte II
SEC_329;329;189824;51;223;97;38;86;146;527;296;79;44;1587;0,189824;8360;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_232;232;19090;27;110;31;21;100;207;312;206;90;129;1233;0,01909;64589;BAR_04;La Torrassa;DIS_2;Districte II
SEC_233;233;16108;27;100;43;15;84;188;290;180;41;84;1052;0,016108;65309;BAR_04;La Torrassa;DIS_2;Districte II
SEC_234;234;19015;25;81;26;14;91;220;291;210;50;99;1107;0,019015;58217;BAR_04;La Torrassa;DIS_2;Districte II
SEC_523;523;18459;44;117;53;32;115;230;386;262;91;163;1493;0,018459;80882;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_236;236;13812;20;86;45;12;68;169;246;196;74;132;1048;0,013812;75876;BAR_04;La Torrassa;DIS_2;Districte II
SEC_237;237;17087;42;131;64;31;118;225;374;258;92;123;1458;0,017087;85328;BAR_04;La Torrassa;DIS_2;Districte II
SEC_239;239;21347;29;72;26;29;101;190;324;242;63;146;1222;0,021347;57245;BAR_04;La Torrassa;DIS_2;Districte II
SEC_242;242;15607;34;112;38;16;113;196;309;238;91;132;1279;0,015607;81950;BAR_04;La Torrassa;DIS_2;Districte II
SEC_319;319;59609;44;160;102;46;126;193;474;355;157;101;1758;0,059609;29492;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_243;243;23811;37;121;65;31;131;263;406;353;94;173;1674;0,023811;70304;BAR_04;La Torrassa;DIS_2;Districte II
SEC_245;245;13180;35;115;41;26;94;189;282;208;77;108;1175;0,01318;89150;BAR_04;La Torrassa;DIS_2;Districte II
SEC_246;246;11348;33;111;57;33;101;206;364;204;78;107;1294;0,011348;114029;BAR_04;La Torrassa;DIS_2;Districte II
SEC_247;247;12744;51;131;67;27;106;215;338;224;106;121;1386;0,012744;108757;BAR_04;La Torrassa;DIS_2;Districte II
SEC_323;323;19483;30;155;87;41;137;189;436;362;263;123;1823;0,019483;93569;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_248;248;13733;26;105;49;18;119;231;328;242;85;111;1314;0,013733;95682;BAR_04;La Torrassa;DIS_2;Districte II
SEC_249;249;13642;24;84;35;15;98;186;271;220;71;99;1103;0,013642;80853;BAR_04;La Torrassa;DIS_2;Districte II
SEC_426;426;9847;30;113;45;21;82;174;284;207;72;65;1093;0,009847;110998;BAR_07;La Florida;DIS_4;Districte IV
SEC_302;302;35101;26;119;39;12;85;198;357;250;221;138;1445;0,035101;41167;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_303;303;18421;36;122;58;26;102;172;411;258;171;275;1631;0,018421;88540;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_532;532;16462;37;120;49;33;113;231;351;230;100;164;1428;0,016462;86745;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_306;306;44259;40;115;61;33;126;271;368;328;170;133;1645;0,044259;37168;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_307;307;18666;19;92;37;15;63;141;261;236;246;190;1300;0,018666;69645;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_437;437;20554;55;159;70;36;162;243;414;317;132;186;1774;0,020554;86309;BAR_08;Les Planes;DIS_4;Districte IV
SEC_310;310;15358;23;92;41;14;65;151;234;189;108;72;989;0,015358;64396;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_311;311;24293;41;162;53;19;133;223;437;291;110;141;1610;0,024293;66274;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_312;312;49851;39;134;63;19;126;294;524;343;156;214;1912;0,049851;38354;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_313;313;60431;37;153;71;39;144;243;432;359;246;182;1906;0,060431;31540;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_314;314;39465;49;208;80;38;130;309;584;498;273;170;2339;0,039465;59268;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_401;401;41670;26;104;57;25;107;203;273;254;107;136;1292;0,04167;31006;BAR_08;Les Planes;DIS_4;Districte IV
SEC_315;315;55047;44;156;70;29;127;225;472;370;186;132;1811;0,055047;32899;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_317;317;15908;36;103;49;32;99;200;325;195;61;64;1164;0,015908;73171;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_435;435;17014;36;133;58;19;109;201;309;214;72;75;1226;0,017014;72058;BAR_08;Les Planes;DIS_4;Districte IV
SEC_318;318;44633;11;51;27;19;58;87;145;194;100;84;776;0,044633;17386;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_320;320;2167880;42;147;73;48;131;212;499;347;153;142;1794;2,16788;828;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_321;321;52645;38;133;76;37;159;274;419;479;380;237;2232;0,052645;42397;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_324;324;18239;26;119;36;31;88;191;341;182;76;69;1159;0,018239;63545;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_524;524;17253;44;150;56;25;144;235;367;253;87;101;1462;0,017253;84739;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_325;325;33099;27;118;67;33;127;182;375;382;218;291;1820;0,033099;54987;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_508;508;18947;45;143;76;26;122;254;399;283;82;130;1560;0,018947;82335;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_326;326;181125;86;271;65;24;67;178;663;191;51;17;1613;0,181125;8905;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_328;328;93069;73;295;114;69;112;179;581;218;50;40;1731;0,093069;18599;BAR_06;Santa Eulàlia;DIS_3;Districte III
SEC_529;529;17951;47;102;60;28;128;214;351;228;74;145;1377;0,017951;76709;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_517;517;26346;51;219;88;38;220;343;529;426;121;149;2184;0,026346;82897;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_402;402;12782;31;87;36;14;63;160;217;169;56;99;932;0,012782;72915;BAR_07;La Florida;DIS_4;Districte IV
SEC_432;432;32130;28;108;55;21;115;199;310;223;171;135;1365;0,03213;42484;BAR_07;La Florida;DIS_4;Districte IV
SEC_403;403;24540;24;108;37;22;86;172;291;227;114;193;1274;0,02454;51915;BAR_07;La Florida;DIS_4;Districte IV
SEC_404;404;15644;35;137;56;25;125;210;345;263;116;144;1456;0,015644;93071;BAR_07;La Florida;DIS_4;Districte IV
SEC_419;419;29612;60;202;87;47;183;338;506;406;111;178;2118;0,029612;71525;BAR_08;Les Planes;DIS_4;Districte IV
SEC_405;405;15896;51;165;63;26;190;278;483;342;117;235;1950;0,015896;122672;BAR_07;La Florida;DIS_4;Districte IV
SEC_406;406;12773;43;115;46;33;122;192;337;277;116;150;1431;0,012773;112033;BAR_07;La Florida;DIS_4;Districte IV
SEC_407;407;10414;26;106;45;20;118;178;274;198;63;115;1143;0,010414;109756;BAR_07;La Florida;DIS_4;Districte IV
SEC_506;506;62546;20;106;50;30;121;179;344;319;288;239;1696;0,062546;27116;BAR_09;Can Serra;DIS_5;Districte V
SEC_409;409;34365;49;173;69;42;164;304;537;337;146;205;2026;0,034365;58955;BAR_07;La Florida;DIS_4;Districte IV
SEC_414;414;16738;55;191;90;30;177;313;534;352;94;151;1987;0,016738;118712;BAR_07;La Florida;DIS_4;Districte IV
SEC_441;441;52452;48;151;70;46;139;282;456;428;269;219;2108;0,052452;40189;BAR_08;Les Planes;DIS_4;Districte IV
SEC_416;416;31599;45;147;66;38;121;214;387;264;96;141;1519;0,031599;48071;BAR_07;La Florida;DIS_4;Districte IV
SEC_525;525;10580;25;95;39;13;72;146;258;156;72;103;979;0,01058;92533;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_420;420;41475;55;173;82;34;204;354;519;434;165;192;2212;0,041475;53333;BAR_08;Les Planes;DIS_4;Districte IV
SEC_421;421;11736;22;109;50;21;108;176;300;249;97;170;1302;0,011736;110941;BAR_07;La Florida;DIS_4;Districte IV
SEC_422;422;21942;38;119;51;26;117;193;350;240;82;107;1323;0,021942;60295;BAR_07;La Florida;DIS_4;Districte IV
SEC_423;423;8942;41;121;39;22;91;180;260;198;75;121;1148;0,008942;128383;BAR_07;La Florida;DIS_4;Districte IV
SEC_520;520;10223;21;74;35;17;70;126;189;166;85;102;885;0,010223;86570;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_425;425;11722;27;89;34;21;96;192;253;228;68;113;1121;0,011722;95632;BAR_07;La Florida;DIS_4;Districte IV
SEC_427;427;18562;58;184;82;29;141;275;492;319;89;121;1790;0,018562;96434;BAR_07;La Florida;DIS_4;Districte IV
SEC_526;526;19012;57;195;84;37;162;293;579;340;108;144;1999;0,019012;105144;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_430;430;12165;38;113;59;20;102;192;301;202;56;95;1178;0,012165;96835;BAR_07;La Florida;DIS_4;Districte IV
SEC_431;431;13732;55;193;85;43;155;280;471;256;112;116;1766;0,013732;128605;BAR_07;La Florida;DIS_4;Districte IV
SEC_433;433;24266;65;220;81;44;164;330;448;370;137;102;1961;0,024266;80813;BAR_08;Les Planes;DIS_4;Districte IV
SEC_505;505;24482;16;71;45;13;49;122;253;203;164;244;1180;0,024482;48199;BAR_09;Can Serra;DIS_5;Districte V
SEC_503;503;19818;7;36;13;5;40;85;152;154;139;85;716;0,019818;36129;BAR_09;Can Serra;DIS_5;Districte V
SEC_436;436;165933;58;142;42;33;177;259;414;324;106;124;1679;0,165933;10119;BAR_08;Les Planes;DIS_4;Districte IV
SEC_534;534;9366;27;102;35;15;76;175;263;163;86;125;1067;0,009366;113923;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_440;440;10468;18;85;31;23;91;138;232;186;105;162;1071;0,010468;102312;BAR_08;Les Planes;DIS_4;Districte IV
SEC_502;502;48637;45;151;50;29;116;184;348;300;156;231;1610;0,048637;33102;BAR_09;Can Serra;DIS_5;Districte V
SEC_504;504;28481;20;74;33;15;70;119;251;164;108;198;1052;0,028481;36937;BAR_09;Can Serra;DIS_5;Districte V
SEC_535;535;15753;13;51;32;18;61;113;172;192;135;170;957;0,015753;60750;BAR_09;Can Serra;DIS_5;Districte V
SEC_507;507;17522;25;75;31;10;67;139;209;154;72;85;867;0,017522;49481;BAR_09;Can Serra;DIS_5;Districte V
SEC_521;521;24798;22;66;27;20;48;78;189;143;169;181;943;0,024798;38027;BAR_09;Can Serra;DIS_5;Districte V
SEC_510;510;11660;23;87;35;16;86;143;251;223;95;126;1085;0,01166;93053;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_530;530;67007;58;190;74;31;128;267;539;303;93;154;1837;0,067007;27415;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_528;528;20330;33;100;61;22;106;177;314;223;85;133;1254;0,02033;61682;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_537;537;251265;21;103;47;23;109;184;313;231;116;155;1302;0,251265;5182;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_538;538;20337;24;111;49;35;124;176;330;256;94;152;1351;0,020337;66431;BAR_10;Pubilla Cases;DIS_5;Districte V
SEC_601;601;2125123;33;154;85;43;124;234;449;400;195;300;2017;2,125123;949;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_602;602;25626;23;111;52;25;97;119;280;207;88;206;1208;0,025626;47140;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_605;605;70645;38;138;66;35;93;145;340;310;166;300;1631;0,070645;23087;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_606;606;16579;24;89;46;23;80;119;240;208;70;134;1033;0,016579;62308;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_607;607;21510;20;71;31;16;66;116;212;207;66;209;1014;0,02151;47141;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_608;608;55873;25;105;39;30;90;138;280;288;126;152;1273;0,055873;22784;BAR_11;El Gornal;DIS_6;Districte VI
SEC_609;609;11299;16;71;37;12;55;77;196;129;93;143;829;0,011299;73369;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_610;610;32267;25;91;37;24;89;133;213;202;129;228;1171;0,032267;36291;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_611;611;58404;29;157;88;42;113;227;467;348;112;233;1816;0,058404;31094;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_612;612;15087;17;58;41;19;71;109;236;161;81;208;1001;0,015087;66349;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_613;613;15378;26;92;45;16;69;115;271;204;97;243;1178;0,015378;76603;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_614;614;51487;14;63;43;21;60;94;205;171;117;156;944;0,051487;18335;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_615;615;50863;15;61;29;11;56;67;190;127;96;154;806;0,050863;15846;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_616;616;242617;49;192;111;41;185;210;482;473;243;126;2112;0,242617;8705;BAR_11;El Gornal;DIS_6;Districte VI
SEC_617;617;14312;14;88;36;23;57;109;225;172;101;108;933;0,014312;65190;BAR_11;El Gornal;DIS_6;Districte VI
SEC_618;618;31056;9;64;47;31;101;99;174;257;126;203;1111;0,031056;35774;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_619;619;151673;20;99;44;24;78;123;263;254;173;219;1297;0,151673;8551;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_621;621;23509;26;105;40;30;85;124;325;221;255;151;1362;0,023509;57935;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_622;622;30343;15;54;28;12;56;72;190;174;96;73;770;0,030343;25377;BAR_11;El Gornal;DIS_6;Districte VI
SEC_623;623;33984;22;109;66;29;88;126;314;231;200;188;1373;0,033984;40401;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_624;624;23602;18;82;52;17;66;97;222;176;149;157;1036;0,023602;43895;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_625;625;14462;17;64;32;19;74;90;224;228;243;154;1145;0,014462;79173;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_626;626;38368;22;68;28;20;59;92;205;163;108;116;881;0,038368;22962;BAR_11;El Gornal;DIS_6;Districte VI
SEC_627;627;47800;17;58;25;7;48;75;184;153;192;126;885;0,0478;18515;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_630;630;19913;12;68;22;17;53;71;190;146;143;87;809;0,019913;40627;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_631;631;14438;17;79;38;14;62;112;222;157;143;168;1012;0,014438;70093;BAR_12;Bellvitge;DIS_6;Districte VI
SEC_632;632;41432;11;70;44;26;66;84;234;166;86;98;885;0,041432;21360;BAR_11;El Gornal;DIS_6;Districte VI
