DataPadro,AreaBasicaSalut,NomArea,Habitants,Habitatges
31/05/2018,4,Torrassa            ,26757,10665
31/05/2018,1,Centre              ,28862,12871
31/05/2018,9,Pubilla Cases       ,29959,11574
31/05/2018,12,Bellvitge           ,24735,10076
31/05/2018,7,Florida Nord        ,21915,8136
31/05/2018,3,Collblanc           ,25943,10628
31/05/2018,5,Santa Eulàlia Nord  ,19808,8499
31/05/2018,6,Santa Eulàlia Sud   ,23973,10187
31/05/2018,8,Florida Sud,23380,8640
31/05/2018,2,Sant Josep,22883,9641
31/05/2018,11,Gornal,8742,3736
31/05/2018,10,Can Serra,10140,4200
31/05/2018,0,,3,0
30/06/2018,3,Collblanc,25827,10661
30/06/2018,5,Santa Eulàlia Nord,19834,8525
30/06/2018,1,Centre,28826,12910
30/06/2018,4,Torrassa,26694,10705
30/06/2018,11,Gornal,8745,3740
30/06/2018,12,Bellvitge,24697,10082
30/06/2018,8,Florida Sud,23342,8659
30/06/2018,7,Florida Nord,21933,8155
30/06/2018,9,Pubilla Cases,29911,11590
30/06/2018,0,,3,0
30/06/2018,10,Can Serra,10095,4202
30/06/2018,2,Sant Josep,22843,9659
30/06/2018,6,Santa Eulàlia Sud,23918,10213
31/07/2018,9,Pubilla Cases,30000,11591
31/07/2018,8,Florida Sud,23461,8659
31/07/2018,1,Centre,28893,12912
31/07/2018,4,Torrassa,26771,10704
31/07/2018,6,Santa Eulàlia Sud,24008,10213
31/07/2018,2,Sant Josep,22899,9659
31/07/2018,10,Can Serra,10134,4202
31/07/2018,11,Gornal,8787,3740
31/07/2018,0,,3,0
31/07/2018,12,Bellvitge,24713,10082
31/07/2018,3,Collblanc,25873,10661
31/07/2018,7,Florida Nord,21997,8155
31/07/2018,5,Santa Eulàlia Nord,19873,8536
31/08/2018,9,Pubilla Cases,30240,11591
31/08/2018,0,,3,0
31/08/2018,8,Florida Sud,23687,8659
31/08/2018,3,Collblanc,26110,10661
31/08/2018,4,Torrassa,26999,10704
31/08/2018,1,Centre,29055,12912
31/08/2018,12,Bellvitge,24822,10082
31/08/2018,10,Can Serra,10177,4202
31/08/2018,5,Santa Eulàlia Nord,19989,8536
31/08/2018,6,Santa Eulàlia Sud,24136,10213
31/08/2018,11,Gornal,8832,3740
31/08/2018,7,Florida Nord,22195,8155
31/08/2018,2,Sant Josep,23001,9659
30/09/2018,4,Torrassa,26956,10704
30/09/2018,11,Gornal,8836,3830
30/09/2018,0,,3,0
30/09/2018,12,Bellvitge,24774,10082
30/09/2018,6,Santa Eulàlia Sud,24054,10213
30/09/2018,10,Can Serra,10121,4202
30/09/2018,2,Sant Josep,22948,9659
30/09/2018,5,Santa Eulàlia Nord,19963,8536
30/09/2018,9,Pubilla Cases,30122,11591
30/09/2018,8,Florida Sud,23607,8660
30/09/2018,3,Collblanc,25928,10661
30/09/2018,1,Centre,29002,12923
30/09/2018,7,Florida Nord,22072,8155
31/10/2018,5,Santa Eulàlia Nord,19966,8536
31/10/2018,12,Bellvitge,24817,10082
31/10/2018,4,Torrassa,27033,10703
31/10/2018,0,,3,0
31/10/2018,3,Collblanc,25914,10661
31/10/2018,8,Florida Sud,23678,8660
31/10/2018,11,Gornal,8846,3830
31/10/2018,6,Santa Eulàlia Sud,24074,10213
31/10/2018,9,Pubilla Cases,30131,11591
31/10/2018,2,Sant Josep,22964,9659
31/10/2018,1,Centre,29049,12922
31/10/2018,7,Florida Nord,22112,8155
31/10/2018,10,Can Serra,10149,4203
30/11/2018,2,Sant Josep,22967,9659
30/11/2018,12,Bellvitge,24835,10082
30/11/2018,0,,3,0
30/11/2018,1,Centre,29106,12922
30/11/2018,7,Florida Nord,22258,8155
30/11/2018,4,Torrassa,27118,10703
30/11/2018,10,Can Serra,10148,4203
30/11/2018,8,Florida Sud,23728,8661
30/11/2018,5,Santa Eulàlia Nord,19995,8536
30/11/2018,6,Santa Eulàlia Sud,24133,10213
30/11/2018,3,Collblanc,26034,10661
30/11/2018,9,Pubilla Cases,30247,11591
30/11/2018,11,Gornal,8860,3830
31/12/2018,5,Santa Eulàlia Nord,20054,8536
31/12/2018,11,Gornal,8868,3830
31/12/2018,1,Centre,29144,12971
31/12/2018,8,Florida Sud,23770,8661
31/12/2018,4,Torrassa,27142,10702
31/12/2018,2,Sant Josep,23025,9657
31/12/2018,9,Pubilla Cases,30300,11591
31/12/2018,7,Florida Nord,22340,8156
31/12/2018,12,Bellvitge,24842,10082
31/12/2018,3,Collblanc,26096,10674
31/12/2018,6,Santa Eulàlia Sud,24160,10265
31/12/2018,10,Can Serra,10159,4204
31/12/2018,0,,3,0
31/01/2019,5,Santa Eulàlia Nord,20121,8536
31/01/2019,10,Can Serra,10185,4204
31/01/2019,8,Florida Sud,23855,8661
31/01/2019,3,Collblanc,26235,10675
31/01/2019,9,Pubilla Cases,30437,11591
31/01/2019,1,Centre,29232,12971
31/01/2019,4,Torrassa,27296,10702
31/01/2019,12,Bellvitge,24861,10082
31/01/2019,2,Sant Josep,23094,9656
31/01/2019,11,Gornal,8919,3830
31/01/2019,0,,3,0
31/01/2019,6,Santa Eulàlia Sud,24217,10265
31/01/2019,7,Florida Nord,22454,8157
28/02/2019,2,Sant Josep,23069,9656
28/02/2019,1,Centre,29206,12971
28/02/2019,12,Bellvitge,24826,10082
28/02/2019,3,Collblanc,26175,10675
28/02/2019,7,Florida Nord,22370,8157
28/02/2019,8,Florida Sud,23826,8661
28/02/2019,6,Santa Eulàlia Sud,24222,10265
28/02/2019,5,Santa Eulàlia Nord,20119,8536
28/02/2019,11,Gornal,8938,3830
28/02/2019,9,Pubilla Cases,30341,11591
28/02/2019,0,,3,0
28/02/2019,10,Can Serra,10213,4205
28/02/2019,4,Torrassa,27265,10702
31/03/2019,4,Torrassa,27359,10702
31/03/2019,2,Sant Josep,23122,9662
31/03/2019,1,Centre,29275,12972
31/03/2019,0,,3,0
31/03/2019,8,Florida Sud,23919,8661
31/03/2019,5,Santa Eulàlia Nord,20200,8536
31/03/2019,12,Bellvitge,24902,10082
31/03/2019,6,Santa Eulàlia Sud,24305,10265
31/03/2019,9,Pubilla Cases,30492,11591
31/03/2019,10,Can Serra,10218,4205
31/03/2019,3,Collblanc,26247,10675
31/03/2019,11,Gornal,8983,3830
31/03/2019,7,Florida Nord,22453,8157
30/04/2019,5,Santa Eulàlia Nord,20325,8536
30/04/2019,0,,3,0
30/04/2019,12,Bellvitge,24978,10082
30/04/2019,8,Florida Sud,24121,8661
30/04/2019,7,Florida Nord,22593,8157
30/04/2019,9,Pubilla Cases,30742,11592
30/04/2019,4,Torrassa,27592,10702
30/04/2019,3,Collblanc,26341,10675
30/04/2019,2,Sant Josep,23222,9662
30/04/2019,6,Santa Eulàlia Sud,24433,10265
30/04/2019,10,Can Serra,10275,4205
30/04/2019,1,Centre,29446,12973
30/04/2019,11,Gornal,9045,3830
31/05/2019,8,Florida Sud,24123,8661
31/05/2019,9,Pubilla Cases,30714,11592
31/05/2019,0,,3,0
31/05/2019,4,Torrassa,27693,10703
31/05/2019,5,Santa Eulàlia Nord,20297,8553
31/05/2019,11,Gornal,9033,3830
31/05/2019,1,Centre,29471,13062
31/05/2019,3,Collblanc,26265,10676
31/05/2019,7,Florida Nord,22661,8157
31/05/2019,12,Bellvitge,24940,10082
31/05/2019,6,Santa Eulàlia Sud,24452,10265
31/05/2019,10,Can Serra,10236,4205
31/05/2019,2,Sant Josep,23212,9662
30/06/2019,7,Florida Nord,22700,8157
30/06/2019,2,Sant Josep,23218,9662
30/06/2019,8,Florida Sud,24173,8661
30/06/2019,1,Centre,29512,13062
30/06/2019,5,Santa Eulàlia Nord,20281,8553
30/06/2019,4,Torrassa,27771,10703
30/06/2019,10,Can Serra,10243,4205
30/06/2019,11,Gornal,9067,3830
30/06/2019,6,Santa Eulàlia Sud,24507,10265
30/06/2019,0,,3,0
30/06/2019,12,Bellvitge,24923,10082
30/06/2019,9,Pubilla Cases,30782,11592
30/06/2019,3,Collblanc,26263,10676
31/07/2019,2,Sant Josep,23158,9662
31/07/2019,12,Bellvitge,24867,10082
31/07/2019,8,Florida Sud,24013,8661
31/07/2019,9,Pubilla Cases,30644,11589
31/07/2019,4,Torrassa,27685,10704
31/07/2019,3,Collblanc,26159,10676
31/07/2019,10,Can Serra,10196,4205
31/07/2019,7,Florida Nord,22617,8157
31/07/2019,1,Centre,29613,13065
31/07/2019,5,Santa Eulàlia Nord,20270,8553
31/07/2019,11,Gornal,9061,3925
31/07/2019,0,,3,0
31/07/2019,6,Santa Eulàlia Sud,24452,10265
31/08/2019,0,,1,0
31/08/2019,5,Santa Eulàlia Nord,20354,8553
31/08/2019,9,Pubilla Cases,30772,11589
31/08/2019,10,Can Serra,10214,4205
31/08/2019,12,Bellvitge,24948,10082
31/08/2019,1,Centre,29732,13068
31/08/2019,4,Torrassa,27814,10704
31/08/2019,7,Florida Nord,22700,8157
31/08/2019,3,Collblanc,26307,10677
31/08/2019,6,Santa Eulàlia Sud,24565,10265
31/08/2019,8,Florida Sud,24084,8661
31/08/2019,2,Sant Josep,23202,9662
31/08/2019,11,Gornal,9093,3925
30/09/2019,3,Collblanc,26239,10677
30/09/2019,6,Santa Eulàlia Sud,24428,10265
30/09/2019,1,Centre,29666,13068
30/09/2019,8,Florida Sud,23889,8661
30/09/2019,9,Pubilla Cases,30616,11589
30/09/2019,11,Gornal,9054,3925
30/09/2019,2,Sant Josep,23132,9662
30/09/2019,12,Bellvitge,24856,10082
30/09/2019,5,Santa Eulàlia Nord,20305,8553
30/09/2019,10,Can Serra,10170,4205
30/09/2019,7,Florida Nord,22578,8158
30/09/2019,4,Torrassa,27589,10708
31/10/2019,7,Florida Nord,22694,8159
31/10/2019,2,Sant Josep,23157,9662
31/10/2019,6,Santa Eulàlia Sud,24516,10265
31/10/2019,9,Pubilla Cases,30754,11590
31/10/2019,1,Centre,29733,13068
31/10/2019,10,Can Serra,10181,4205
31/10/2019,3,Collblanc,26468,10679
31/10/2019,12,Bellvitge,24891,10083
31/10/2019,8,Florida Sud,23978,8661
31/10/2019,4,Torrassa,27745,10710
31/10/2019,11,Gornal,9070,3925
31/10/2019,5,Santa Eulàlia Nord,20405,8570
30/11/2019,7,Florida Nord,22916,8160
30/11/2019,12,Bellvitge,24989,10083
30/11/2019,10,Can Serra,10236,4205
30/11/2019,6,Santa Eulàlia Sud,24710,10265
30/11/2019,1,Centre,29877,13122
30/11/2019,9,Pubilla Cases,31086,11590
30/11/2019,4,Torrassa,28138,10710
30/11/2019,8,Florida Sud,24197,8661
30/11/2019,3,Collblanc,26721,10680
30/11/2019,11,Gornal,9140,3925
30/11/2019,5,Santa Eulàlia Nord,20548,8570
30/11/2019,2,Sant Josep,23311,9662
31/12/2019,4,Torrassa,28407,10726
31/12/2019,12,Bellvitge,25082,10083
31/12/2019,3,Collblanc,26920,10696
31/12/2019,2,Sant Josep,23461,9666
31/12/2019,11,Gornal,9198,3925
31/12/2019,1,Centre,30040,13169
31/12/2019,9,Pubilla Cases,31313,11590
31/12/2019,5,Santa Eulàlia Nord,20674,8683
31/12/2019,7,Florida Nord,23124,8160
31/12/2019,6,Santa Eulàlia Sud,24885,10262
31/12/2019,8,Florida Sud,24381,8661
31/12/2019,10,Can Serra,10281,4205
31/01/2020,7,Florida Nord,23275,8160
31/01/2020,9,Pubilla Cases,31488,11590
31/01/2020,1,Centre,30138,13186
31/01/2020,12,Bellvitge,25113,10083
31/01/2020,8,Florida Sud,24432,8661
31/01/2020,2,Sant Josep,23482,9665
31/01/2020,4,Torrassa,28508,10726
31/01/2020,6,Santa Eulàlia Sud,24965,10262
31/01/2020,5,Santa Eulàlia Nord,20740,8683
31/01/2020,10,Can Serra,10302,4205
31/01/2020,3,Collblanc,27091,10696
31/01/2020,11,Gornal,9211,3925
29/02/2020,3,Collblanc,27457,10696
29/02/2020,11,Gornal,9291,3925
29/02/2020,2,Sant Josep,23632,9665
29/02/2020,12,Bellvitge,25256,10083
29/02/2020,7,Florida Nord,23568,8160
29/02/2020,9,Pubilla Cases,31884,11590
29/02/2020,4,Torrassa,28909,10726
29/02/2020,10,Can Serra,10358,4205
29/02/2020,1,Centre,30337,13186
29/02/2020,6,Santa Eulàlia Sud,25128,10262
29/02/2020,5,Santa Eulàlia Nord,20872,8683
29/02/2020,8,Florida Sud,24680,8664
31/03/2020,2,Sant Josep,23250,9665
31/03/2020,3,Collblanc,26817,10696
31/03/2020,12,Bellvitge,24973,10083
31/03/2020,7,Florida Nord,23085,8160
31/03/2020,4,Torrassa,28182,10726
31/03/2020,9,Pubilla Cases,31111,11590
31/03/2020,5,Santa Eulàlia Nord,20449,8683
31/03/2020,8,Florida Sud,24218,8664
31/03/2020,1,Centre,29862,13186
31/03/2020,6,Santa Eulàlia Sud,24735,10277
31/03/2020,10,Can Serra,10192,4205
31/03/2020,11,Gornal,9183,3925
30/04/2020,12,Bellvitge,24906,10083
30/04/2020,9,Pubilla Cases,30937,11590
30/04/2020,1,Centre,29798,13194
30/04/2020,5,Santa Eulàlia Nord,20372,8683
30/04/2020,8,Florida Sud,24124,8664
30/04/2020,10,Can Serra,10152,4205
30/04/2020,7,Florida Nord,22937,8160
30/04/2020,2,Sant Josep,23189,9665
30/04/2020,4,Torrassa,28014,10726
30/04/2020,3,Collblanc,26639,10696
30/04/2020,6,Santa Eulàlia Sud,24622,10277
30/04/2020,11,Gornal,9150,3925
31/05/2020,5,Santa Eulàlia Nord,20362,8683
31/05/2020,7,Florida Nord,22915,8160
31/05/2020,4,Torrassa,28004,10726
31/05/2020,10,Can Serra,10136,4205
31/05/2020,6,Santa Eulàlia Sud,24629,10277
31/05/2020,8,Florida Sud,24115,8664
31/05/2020,3,Collblanc,26629,10696
31/05/2020,1,Centre,29796,13262
31/05/2020,9,Pubilla Cases,30932,11590
31/05/2020,12,Bellvitge,24895,10083
31/05/2020,2,Sant Josep,23175,9665
31/05/2020,11,Gornal,9151,3925
30/06/2020,8,Florida Sud,24140,8664
30/06/2020,2,Sant Josep,23171,9665
30/06/2020,10,Can Serra,10101,4205
30/06/2020,11,Gornal,9129,3925
30/06/2020,3,Collblanc,26655,10697
30/06/2020,9,Pubilla Cases,30975,11590
30/06/2020,7,Florida Nord,22960,8160
30/06/2020,4,Torrassa,28040,10726
30/06/2020,5,Santa Eulàlia Nord,20379,8683
30/06/2020,12,Bellvitge,24856,10083
30/06/2020,1,Centre,29831,13252
30/06/2020,6,Santa Eulàlia Sud,24644,10277
31/07/2020,1,Centre,30011,13252
31/07/2020,5,Santa Eulàlia Nord,20473,8683
31/07/2020,6,Santa Eulàlia Sud,24742,10277
31/07/2020,7,Florida Nord,23135,8161
31/07/2020,10,Can Serra,10145,4205
31/07/2020,8,Florida Sud,24336,8664
31/07/2020,12,Bellvitge,24953,10083
31/07/2020,2,Sant Josep,23259,9665
31/07/2020,4,Torrassa,28338,10726
31/07/2020,9,Pubilla Cases,31165,11590
31/07/2020,11,Gornal,9195,3925
31/07/2020,3,Collblanc,26928,10697
31/08/2020,10,Can Serra,10085,4205
31/08/2020,9,Pubilla Cases,30873,11590
31/08/2020,11,Gornal,9128,3925
31/08/2020,1,Centre,29795,13252
31/08/2020,6,Santa Eulàlia Sud,24510,10277
31/08/2020,3,Collblanc,26689,10697
31/08/2020,5,Santa Eulàlia Nord,20349,8683
31/08/2020,2,Sant Josep,23033,9665
31/08/2020,12,Bellvitge,24787,10083
31/08/2020,4,Torrassa,28139,10726
31/08/2020,7,Florida Nord,22968,8161
31/08/2020,8,Florida Sud,24140,8664
30/09/2020,12,Bellvitge,24762,10083
30/09/2020,5,Santa Eulàlia Nord,20351,8683
30/09/2020,7,Florida Nord,23051,8161
30/09/2020,10,Can Serra,10072,4205
30/09/2020,2,Sant Josep,23036,9665
30/09/2020,9,Pubilla Cases,30940,11591
30/09/2020,3,Collblanc,26770,10697
30/09/2020,8,Florida Sud,24237,8664
30/09/2020,6,Santa Eulàlia Sud,24518,10288
30/09/2020,1,Centre,29848,13252
30/09/2020,11,Gornal,9154,3925
30/09/2020,4,Torrassa,28200,10726
31/10/2020,8,Florida Sud,24219,8664
31/10/2020,7,Florida Nord,23089,8161
31/10/2020,3,Collblanc,26745,10697
31/10/2020,4,Torrassa,28120,10728
31/10/2020,12,Bellvitge,24739,10083
31/10/2020,5,Santa Eulàlia Nord,20352,8677
31/10/2020,11,Gornal,9161,3987
31/10/2020,6,Santa Eulàlia Sud,24480,10396
31/10/2020,2,Sant Josep,23035,9730
31/10/2020,1,Centre,29879,13308
31/10/2020,9,Pubilla Cases,30957,11591
31/10/2020,10,Can Serra,10043,4211
30/11/2020,12,Bellvitge,24699,10083
30/11/2020,7,Florida Nord,22984,8161
30/11/2020,11,Gornal,9142,3987
30/11/2020,1,Centre,29896,13303
30/11/2020,4,Torrassa,28103,10730
30/11/2020,2,Sant Josep,22972,9730
30/11/2020,6,Santa Eulàlia Sud,24442,10396
30/11/2020,8,Florida Sud,24178,8664
30/11/2020,9,Pubilla Cases,30959,11591
30/11/2020,3,Collblanc,26694,10697
30/11/2020,10,Can Serra,10034,4211
30/11/2020,5,Santa Eulàlia Nord,20351,8677
31/12/2020,2,Sant Josep,22993,9981
31/12/2020,8,Florida Sud,24169,8664
31/12/2020,3,Collblanc,26638,10697
31/12/2020,1,Centre,29893,13343
31/12/2020,5,Santa Eulàlia Nord,20333,8677
31/12/2020,6,Santa Eulàlia Sud,24449,10396
31/12/2020,9,Pubilla Cases,30906,11591
31/12/2020,11,Gornal,9175,3985
31/12/2020,7,Florida Nord,23006,8161
31/12/2020,4,Torrassa,28038,10730
31/12/2020,10,Can Serra,10042,4211
31/12/2020,12,Bellvitge,24678,10083
